Data,Não indexadas,Indexados,Impressões
2026-02-22,,,323
2026-02-23,43,103,334
2026-02-24,47,98,373
2026-02-25,47,98,343
2026-02-26,47,98,290
2026-02-27,47,98,243
2026-02-28,47,98,269
2026-03-01,47,98,257
2026-03-02,47,98,267
2026-03-03,48,97,245
2026-03-04,48,97,263
2026-03-05,48,97,195
2026-03-06,48,97,241
2026-03-07,48,97,202
2026-03-08,48,97,237
2026-03-09,48,97,216
2026-03-10,47,97,172
2026-03-11,47,97,147
2026-03-12,47,97,204
2026-03-13,47,97,185
2026-03-14,47,97,182
2026-03-15,48,96,284
2026-03-16,48,96,226
2026-03-17,50,95,304
2026-03-18,50,95,301
2026-03-19,50,95,253
2026-03-20,50,95,333
2026-03-21,57,85,301
2026-03-22,57,85,330
2026-03-23,57,85,360
2026-03-24,57,84,341
2026-03-25,57,84,270
2026-03-26,57,84,338
2026-03-27,57,84,264
2026-03-28,58,83,253
2026-03-29,58,83,269
2026-03-30,58,83,311
2026-03-31,59,82,318
2026-04-01,59,82,257
2026-04-02,59,82,244
2026-04-03,59,82,260
2026-04-04,60,80,269
2026-04-05,60,80,306
2026-04-06,62,76,324
2026-04-07,62,76,320
2026-04-08,62,76,344
2026-04-09,62,76,357
2026-04-10,62,76,315
2026-04-11,62,76,386
2026-04-12,62,76,324
2026-04-13,63,75,275
2026-04-14,63,75,301
2026-04-15,63,75,325
2026-04-16,63,75,341
2026-04-17,64,74,539
2026-04-18,64,74,311
2026-04-19,64,74,496
2026-04-20,63,73,449
2026-04-21,63,73,389
2026-04-22,63,73,391
2026-04-23,63,73,407
2026-04-24,64,72,289
2026-04-25,64,72,280
2026-04-26,64,72,321
2026-04-27,79,57,315
2026-04-28,79,57,263
2026-04-29,79,57,292
2026-04-30,79,57,326
2026-05-01,79,56,323
2026-05-02,79,56,394
2026-05-03,79,56,408
2026-05-04,81,55,343
2026-05-05,81,55,300
2026-05-06,81,55,290
2026-05-07,81,55,324
2026-05-08,81,55,316
2026-05-09,81,55,427
2026-05-10,81,55,487
2026-05-11,70,67,495
2026-05-12,70,67,502
2026-05-13,70,67,463
2026-05-14,70,67,502
2026-05-15,65,71,481
2026-05-16,65,71,455
2026-05-17,65,71,403
